Date,Underlying,Event,CashFlow,Note,Warning
2025-09-16,KO,PUT Sold,568.0,Premium 0.71 * 100 * 8,
2025-09-16,CLOV,PUT Sold,640.0,Premium 0.08 * 100 * 100,
2025-09-16,SOFI,PUT Sold,320.0,Premium 0.32 * 100 * 10,
2025-09-18,MSFT,PUT Sold,189.0,Premium 1.89 * 100 * 1,
2025-09-18,QQQ,PUT Sold,131.0,Premium 1.31 * 100 * 1,
2025-09-18,NVO,PUT Sold,616.0,Premium 0.77 * 100 * 8,
2025-09-18,AMZN,PUT Sold,327.0,Premium 1.09 * 100 * 3,
2025-09-18,ABNB,PUT Sold,240.0,Premium 0.48 * 100 * 5,
2025-09-18,UNH,PUT Sold,712.0,Premium 1.78 * 100 * 4,
2025-09-19,ELF,PUT Sold,825.0,Premium 1.65 * 100 * 5,
2025-09-19,QQQ,PUT Sold,64.0,Premium 0.64 * 100 * 1,
2025-09-19,NVDA,PUT Sold,540.0,Premium 1.08 * 100 * 5,
2025-09-22,SOFI,PUT Sold,350.0,Premium 0.35 * 100 * 10,
2025-09-22,QQQ,PUT Sold,102.0,Premium 1.02 * 100 * 1,
2025-09-22,ANET,PUT Sold,840.0,Premium 1.05 * 100 * 8,
2025-09-22,WMT,PUT Sold,110.0,Premium 0.22 * 100 * 5,
2025-09-25,QQQ,PUT Sold,112.0,Premium 1.12 * 100 * 1,
2025-09-26,NVO,PUT Assigned,-48000.0,Buy 800 shares @ 60.0,
2025-09-26,AMZN,PUT Assigned,-67500.0,Buy 300 shares @ 225.0,
2025-09-26,ELF,PUT Assigned,-67000.0,Buy 500 shares @ 134.0,
2025-09-29,NVO,CALL Sold,80.0,Premium 0.1 * 100 * 8,
2025-09-29,NVO,PUT Sold,630.0,Premium 0.63 * 100 * 10,
2025-09-29,AMZN,CALL Sold,276.0,Premium 0.92 * 100 * 3,
2025-09-29,ELF,CALL Sold,890.0,Premium 1.78 * 100 * 5,
2025-09-29,SOFI,CALL Sold,160.0,Premium 0.16 * 100 * 10,
2025-09-29,SOFI,PUT Sold,280.0,Premium 0.28 * 100 * 10,
2025-09-29,QQQ,PUT Sold,171.0,Premium 1.71 * 100 * 1,
2025-09-29,UNH,PUT Sold,513.0,Premium 1.71 * 100 * 3,
2025-09-29,AMZN,PUT Sold,752.0,Premium 0.94 * 100 * 8,
2025-09-29,MSFT,PUT Sold,270.0,Premium 1.35 * 100 * 2,
2025-09-29,ELF,PUT Sold,889.0,Premium 1.27 * 100 * 7,
2025-09-29,COST,PUT Sold,277.0,Premium 2.77 * 100 * 1,
2025-09-29,ANET,PUT Sold,560.0,Premium 0.8 * 100 * 7,
2025-09-30,SOFI,CALL Sold,240.0,Premium 0.24 * 100 * 10,
2025-10-03,SOFI,PUT Assigned,-26000.0,Buy 1000 shares @ 26.0,
2025-10-06,NVO,CALL Sold,392.0,Premium 0.49 * 100 * 8,
2025-10-06,ELF,CALL Sold,648.0,Premium 0.81 * 100 * 8,
2025-10-06,SOFI,CALL Sold,340.0,Premium 0.17 * 100 * 20,
2025-10-06,AMZN,CALL Sold,222.0,Premium 0.74 * 100 * 3,
2025-10-06,UNH,PUT Sold,402.0,Premium 1.34 * 100 * 3,
2025-10-06,ANET,PUT Sold,700.0,Premium 1.0 * 100 * 7,
2025-10-06,MSFT,PUT Sold,232.0,Premium 1.16 * 100 * 2,
2025-10-06,ELF,PUT Sold,840.0,Premium 1.2 * 100 * 7,
2025-10-06,NVO,PUT Sold,960.0,Premium 0.48 * 100 * 20,
2025-10-06,ABNB,PUT Sold,670.0,Premium 0.67 * 100 * 10,
2025-10-06,QQQ,PUT Sold,149.0,Premium 1.49 * 100 * 1,
2025-10-09,AMZN,PUT Sold,752.0,Premium 0.94 * 100 * 8,
2025-10-06,SOFI,PUT Sold,136.0,Premium 0.17 * 100 * 8,
2025-10-10,ELF,PUT Assigned,-92400.0,Buy 700 shares @ 132.0,
2025-10-10,NVO,PUT Assigned,-114000.0,Buy 2000 shares @ 57.0,
2025-10-10,QQQ,PUT Assigned,-59800.0,Buy 100 shares @ 598.0,
2025-10-10,AMZN,PUT Assigned,-176000.0,Buy 800 shares @ 220.0,
2025-10-10,SOFI,PUT Assigned,-21600.0,Buy 800 shares @ 27.0,
2025-10-13,NVO,CALL Sold,1372.0,Premium 0.49 * 100 * 28,
2025-10-13,AMZN,CALL Sold,1463.0,Premium 1.33 * 100 * 11,
2025-10-13,ELF,CALL Sold,1320.0,Premium 1.1 * 100 * 12,
2025-10-13,SOFI,CALL Sold,784.0,Premium 0.28 * 100 * 28,
2025-10-13,QQQ,CALL Sold,185.0,Premium 1.85 * 100 * 1,
2025-10-13,MSFT,PUT Sold,416.0,Premium 2.08 * 100 * 2,
2025-10-13,UNH,PUT Sold,426.0,Premium 1.42 * 100 * 3,
2025-10-13,ANET,PUT Sold,1155.0,Premium 1.65 * 100 * 7,
2025-10-13,ABNB,PUT Sold,600.0,Premium 0.6 * 100 * 10,
2025-10-17,ANET,PUT Assigned,-100800.0,Buy 700 shares @ 144.0,
2025-10-20,QQQ,CALL Sold,210.0,Premium 2.1 * 100 * 1,
2025-10-20,ELF,CALL Sold,1620.0,Premium 1.35 * 100 * 12,
2025-10-20,NVO,CALL Sold,1428.0,Premium 0.51 * 100 * 28,
2025-10-20,SOFI,CALL Sold,728.0,Premium 0.26 * 100 * 28,
2025-10-20,AMZN,CALL Sold,737.0,Premium 0.67 * 100 * 11,
2025-10-20,ANET,CALL Sold,1015.0,Premium 1.45 * 100 * 7,
2025-10-20,ANET,PUT Sold,1300.0,Premium 1.3 * 100 * 10,
2025-10-20,UNH,PUT Sold,1631.0,Premium 2.33 * 100 * 7,
2025-10-24,QQQ,CALL Called Away,61700.0,Sell 100 shares @ 617.0,
2025-10-24,SOFI,CALL Called Away,81200.0,Sell 2800 shares @ 29.0,
2025-10-24,AMZN,CALL Called Away,244750.0,Sell 1100 shares @ 222.5,
2025-10-24,NVO,CALL Sold,1260.0,Premium 0.45 * 100 * 28,
2025-10-24,ELF,CALL Sold,1512.0,Premium 1.26 * 100 * 12,
2025-10-24,ANET,PUT Sold,1500.0,Premium 1.5 * 100 * 10,
2025-10-27,SOFI,PUT Sold,2242.0,Premium 0.59 * 100 * 38,
2025-10-27,UNH,PUT Sold,1125.0,Premium 3.75 * 100 * 3,
2025-10-27,NFLX,PUT Sold,1070.0,Premium 5.35 * 100 * 2,
2025-10-27,QQQ,PUT Sold,796.0,Premium 1.99 * 100 * 4,
