ID,Underlying,Side,Type,OpenDate,Expiry,Strike,Qty,PricePerContract,Fees,Delta,Notes,Status,CloseDate
1,KO,Sell,PUT,2025-09-16,2025-10-17,65.0,8,0.71,0.0,0.0,,Expired,2025-10-17
2,CLOV,Sell,PUT,2025-09-16,2025-10-17,2.5,100,0.08,0.0,0.0,,Expired,2025-10-17
3,SOFI,Sell,PUT,2025-09-16,2025-09-19,26.0,10,0.32,0.0,0.0,,Expired,2025-09-19
4,MSFT,Sell,PUT,2025-09-18,2025-09-26,497.5,1,1.89,0.0,0.0,,Expired,2025-09-26
5,QQQ,Sell,PUT,2025-09-18,2025-09-22,591.0,1,1.31,0.0,0.0,,Expired,2025-09-22
6,NVO,Sell,PUT,2025-09-18,2025-09-26,60.0,8,0.77,0.0,0.0,,Assigned,2025-09-26
7,AMZN,Sell,PUT,2025-09-18,2025-09-26,225.0,3,1.09,0.0,0.0,,Assigned,2025-09-26
8,ABNB,Sell,PUT,2025-09-18,2025-09-26,119.0,5,0.48,0.0,0.0,,Expired,2025-09-26
9,UNH,Sell,PUT,2025-09-18,2025-09-26,325.0,4,1.78,0.0,0.0,,Expired,2025-09-26
10,ELF,Sell,PUT,2025-09-19,2025-09-26,134.0,5,1.65,0.0,0.0,,Assigned,2025-09-26
11,QQQ,Sell,PUT,2025-09-19,2025-09-22,594.0,1,0.64,0.0,0.0,,Expired,2025-09-22
12,NVDA,Sell,PUT,2025-09-19,2025-09-26,170.0,5,1.08,0.0,0.0,,Expired,2025-09-26
13,SOFI,Sell,PUT,2025-09-22,2025-09-26,29.0,10,0.35,0.0,0.0,,Assigned,2025-09-26
14,QQQ,Sell,PUT,2025-09-22,2025-09-24,596.0,1,1.02,0.0,0.0,,Expired,2025-09-24
15,ANET,Sell,PUT,2025-09-22,2025-09-26,141.0,8,1.05,0.0,0.0,,Expired,2025-09-26
16,WMT,Sell,PUT,2025-09-22,2025-09-26,100.0,5,0.22,0.0,0.0,,Expired,2025-09-26
17,QQQ,Sell,PUT,2025-09-25,2025-09-26,589.0,1,1.12,0.0,0.0,,Expired,2025-09-26
18,NVO,Sell,CALL,2025-09-29,2025-10-03,60.0,8,0.1,0.0,0.0,,Expired,2025-10-03
