Underlying,Event,EventDate,Shares,Strike,PremiumPerShare,AvgCostAtEvent,EquityPL,TotalPL,Notes
NVO,Assigned,2025-09-18,800,60.0,0.77,59.23,0.0,616.0,
AMZN,Assigned,2025-09-18,300,225.0,1.09,223.91,0.0,327.0,
ELF,Assigned,2025-09-19,500,134.0,1.65,132.35,0.0,825.0,
SOFI,Assigned,2025-09-22,1000,29.0,0.35,28.65,0.0,350.0,
SOFI,Assigned,2025-09-29,1000,26.0,0.28,27.185,0.0,280.0,
ELF,Assigned,2025-10-06,700,132.0,1.2,131.4458,0.0,840.0,
NVO,Assigned,2025-10-06,2000,57.0,0.48,57.2943,0.0,960.0,
QQQ,Assigned,2025-10-06,100,598.0,1.49,596.51,0.0,149.0,
SOFI,Assigned,2025-10-06,800,27.0,0.17,27.0836,0.0,136.0,
AMZN,Assigned,2025-10-09,800,220.0,0.94,220.3827,0.0,752.0,
ANET,Assigned,2025-10-13,700,144.0,1.65,142.35,0.0,1155.0,
